City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,piti village,13.4626,144.6933,28.03,86,100,4.12,GU,1715202791
84,machina,13.1364,10.0492,33.85,11,68,3.32,NG,1715202792
85,east london,-33.0153,27.9116,21.27,84,93,4.78,ZA,1715202620
86,upington,-28.4478,21.2561,19.18,39,5,3.3,ZA,1715202706
87,dudinka,69.4058,86.1778,-10.74,94,100,3.13,RU,1715202794
88,khandyga,62.6667,135.6,2.07,88,100,2.33,RU,1715202794
89,teuva,62.4819,21.7416,-0.24,59,100,0.99,FI,1715202795
90,haiku-pauwela,20.9219,-156.3051,26.23,68,20,9.77,US,1715202795
91,praya,14.9215,-23.5087,25.3,69,0,4.12,CV,1715202796
92,saint-francois,46.4154,3.9054,11.69,83,0,3.09,FR,1715202796
93,lompoc,34.6391,-120.4579,24.36,59,0,7.72,US,1715202719
94,srednebelaya,50.6594,128.0106,5.21,39,0,7.56,RU,1715202798
95,parras de la fuente,25.4167,-102.1833,33.77,9,100,8.22,MX,1715202798
96,diego de almagro,-26.3667,-70.05,24.17,18,98,3.21,CL,1715202799
97,masuguru,-11.3667,38.4167,22.25,82,30,1.65,TZ,1715202799
98,klyuchi,52.2667,79.1667,12.04,56,11,3.05,RU,1715202800
99,pechora,65.1472,57.2244,1.59,91,100,4.47,RU,1715202800
100,al burayqah,30.4062,19.5739,23.96,47,0,6.95,LY,1715202801
101,simanggang,1.2472,111.4528,23.49,100,100,1.2,MY,1715202801
102,atafu village,-8.5421,-172.5159,29.57,75,32,5.46,TK,1715202802
103,medina de pomar,42.9294,-3.488,11.59,92,48,1.47,ES,1715202803
104,colac,-38.3333,143.5833,12.27,81,80,1.9,AU,1715202523
105,meadow lake,34.8014,-106.5436,22.99,15,0,10.43,US,1715202753
106,maposeni,-10.5833,35.4,15.95,89,0,0.8,TZ,1715202559
107,nar'yan-mar,67.6713,53.087,-4.94,88,100,7.15,RU,1715202804
108,ta`u,-14.2336,-169.5144,29.08,78,99,6.68,AS,1715202805
109,dwarka,22.2394,68.9678,27.12,88,0,6.67,IN,1715202805
110,motygino,58.1831,94.7592,2.66,81,85,5.36,RU,1715202806
111,buka,40.8108,69.1986,24.64,37,99,1.7,UZ,1715202806
112,cabo san lucas,22.8909,-109.9124,33.17,25,20,2.06,MX,1715202807
113,weno,7.4515,151.8468,27.97,83,75,3.09,FM,1715202688
114,stornoway,58.2093,-6.3865,11.88,94,100,7.2,GB,1715202807
115,iqaluit,63.7506,-68.5145,-1.28,74,46,7.15,CA,1715202808
116,pirae,-17.5167,-149.5333,29.01,74,40,2.57,PF,1715202808
117,nemuro,43.3236,145.575,3.2,80,12,3.8,JP,1715202809
118,tazacorte,28.629,-17.9293,22.3,78,100,2.06,ES,1715202728
